,year,playername,team,age,g,gs,attempts,yards,tds,longgain,yardsperatt,yardspergame,fumbles,basesalarycap (10^8),Percenthit (%),caphit (M),cashspent (M)
1701,2011,Daniel Thomas,MIA,24,13,2,165,581,0,28,3.5,44.7,2,1.2,0.4903625,0.588435,1.22874
757,2020,Darrell Henderson,LAR,23,7,5,87,412,3,40,4.7,58.9,0,1.982,0.48414732593340065,0.95958,0.686916
758,2019,Darrell Henderson,LAR,22,13,0,39,147,0,22,3.8,11.3,0,1.882,0.4078979808714135,0.767664,1.585656
1201,2016,Darren McFadden,DAL,29,3,1,24,87,0,24,3.6,29.0,0,1.5527,1.3846847427062536,2.15,1.34375
1202,2015,Darren McFadden,DAL,28,16,10,239,1089,3,50,4.6,68.1,3,1.4328,0.8026242322724735,1.15,1.55
1203,2014,Darren McFadden,OAK,27,16,12,155,534,2,25,3.4,33.4,1,1.33,1.3157894736842104,1.75,1.75
1204,2013,Darren McFadden,OAK,26,10,7,114,379,5,30,3.3,37.9,1,1.23,7.849661788617886,9.655084,5.82625
1205,2012,Darren McFadden,OAK,25,12,12,216,707,2,64,3.3,58.9,2,1.206,7.843145107794361,9.458833,5.63
1206,2011,Darren McFadden,OAK,24,7,7,113,614,4,70,5.4,87.7,1,1.2,9.0615275,10.873833,7.045
1208,2009,Darren McFadden,OAK,22,12,7,104,357,1,28,3.4,29.8,5,1.23,3.786991869918699,4.658,20.4175
1209,2008,Darren McFadden,OAK,21,13,5,113,499,4,50,4.4,38.4,3,1.16,2.2629310344827585,2.625,2.625
951,2020,David Johnson,HOU,29,7,7,101,392,3,29,3.9,56.0,1,1.982,5.628784056508577,11.15625,11.25
952,2019,David Johnson,ARI,28,13,9,94,345,2,18,3.7,26.5,1,1.882,5.180658873538788,9.75,6.65625
953,2018,David Johnson,ARI,27,16,16,258,940,7,53,3.6,58.8,3,1.772,2.845283860045147,5.041843,13.8825
954,2017,David Johnson,ARI,26,1,1,11,23,0,6,2.1,23.0,2,1.67,0.47894790419161676,0.799843,0.64
955,2016,David Johnson,ARI,25,16,16,293,1239,16,58,4.2,77.4,5,1.5527,0.4565228311972693,0.708843,0.549
956,2015,David Johnson,ARI,24,16,5,125,581,8,47,4.6,36.3,4,1.4328,0.4151612227805695,0.594843,1.074372
1254,2020,David Montgomery,CHI,23,7,7,96,353,1,23,3.7,50.4,0,1.982,0.4771347124117054,0.945681,0.684136
1255,2019,David Montgomery,CHI,22,16,8,242,889,6,55,3.7,55.6,2,1.882,0.40198990435706694,0.756545,1.54118
1861,2016,DeAngelo Williams,PIT,33,9,4,98,343,4,17,3.5,38.1,0,1.5527,1.6519611000193213,2.565,2.0
1862,2015,DeAngelo Williams,PIT,32,16,10,200,907,11,55,4.5,56.7,4,1.4328,1.0015354550530429,1.435,2.0
1863,2014,DeAngelo Williams,CAR,31,6,6,62,219,0,17,3.5,36.5,1,1.33,4.511278195488721,6.0,2.0
1864,2013,DeAngelo Williams,CAR,30,15,15,201,843,3,43,4.2,56.2,3,1.23,4.0650406504065035,5.0,5.0
1865,2012,DeAngelo Williams,CAR,29,16,10,173,737,5,65,4.3,46.1,2,1.206,7.213930348258707,8.7,5.5
1866,2011,DeAngelo Williams,CAR,28,16,14,155,836,7,74,5.4,52.3,0,1.2,5.583333333333333,6.7,19.5
1868,2009,DeAngelo Williams,CAR,26,13,13,216,1117,7,77,5.2,85.9,3,1.23,1.3089430894308944,1.61,0.745
1869,2008,DeAngelo Williams,CAR,25,16,16,273,1515,18,69,5.5,94.7,0,1.16,1.9353448275862069,2.245,1.38
1870,2007,DeAngelo Williams,CAR,24,16,0,144,717,4,75,5.0,44.8,1,1.09,1.1238532110091743,1.225,3.82
1871,2006,DeAngelo Williams,CAR,23,13,2,121,501,1,31,4.1,38.5,1,1.02,0.96078431372549,0.98,0.98
1325,2017,DeMarco Murray,TEN,29,15,15,184,659,6,75,3.6,43.9,1,1.67,4.161676646706587,6.95,6.25
1326,2016,DeMarco Murray,TEN,28,16,16,293,1287,9,75,4.4,80.4,3,1.5527,3.8642364912732665,6.0,6.7
1327,2015,DeMarco Murray,PHI,27,15,8,193,702,6,54,3.6,46.8,2,1.4328,3.4896705750977115,5.0,9.0
1328,2014,DeMarco Murray,DAL,26,16,16,392,1845,13,51,4.7,115.3,6,1.33,1.2004699248120299,1.596625,1.431
1329,2013,DeMarco Murray,DAL,25,14,14,217,1121,9,43,5.2,80.1,3,1.23,0.6592991869918698,0.810938,0.645313
1330,2012,DeMarco Murray,DAL,24,10,10,161,663,4,48,4.1,66.3,3,1.206,0.560349087893864,0.675781,0.510156
1331,2011,DeMarco Murray,DAL,23,13,7,164,897,2,91,5.5,69.0,1,1.2,0.45052083333333326,0.540625,1.0375
1538,2020,Devin Singletary,BUF,23,7,7,79,299,1,18,3.8,42.7,0,1.982,0.4712189707366297,0.933956,0.675
1539,2019,Devin Singletary,BUF,22,12,8,151,775,2,38,5.1,64.6,4,1.882,0.4006142401700319,0.753956,1.530824
237,2020,Devontae Booker,LVR,28,6,0,20,126,0,43,6.3,21.0,1,1.982,0.4477800201816347,0.8875,1.0475
238,2018,Devontae Booker,DEN,26,16,0,34,183,1,26,5.4,11.4,1,1.772,0.4096207674943567,0.725848,0.63
239,2017,Devontae Booker,DEN,25,13,0,79,299,1,26,3.8,23.0,2,1.67,0.3807473053892216,0.635848,0.54
240,2016,Devontae Booker,DEN,24,16,6,174,612,4,18,3.5,38.3,4,1.5527,0.35154762671475487,0.545848,0.833392
1184,2015,Dexter McCluster,TEN,26,11,2,55,247,1,44,4.5,22.5,2,1.4328,2.3380792853154664,3.35,2.35
1185,2014,Dexter McCluster,TEN,25,14,2,40,131,0,16,3.3,9.4,1,1.33,1.5037593984962403,2.0,4.0
1085,2020,Dion Lewis,NYG,30,7,0,16,54,1,19,3.4,7.7,1,1.982,0.7820383451059534,1.55,1.55
1086,2018,Dion Lewis,TEN,28,16,7,155,517,1,36,3.3,32.3,1,1.772,2.4336907449209932,4.3125,6.0
1087,2017,Dion Lewis,NWE,27,16,8,180,896,6,44,5.0,56.0,0,1.67,0.8907185628742514,1.4875,1.4
1088,2016,Dion Lewis,NWE,26,7,5,64,283,0,15,4.4,40.4,1,1.5527,0.7003928640432795,1.0875,1.0
1089,2015,Dion Lewis,NWE,25,7,6,49,234,2,13,4.8,33.4,2,1.4328,0.47003838637632606,0.673471,1.073471
1090,2012,Dion Lewis,PHI,22,9,0,13,69,1,17,5.3,7.7,0,1.206,0.424726368159204,0.51222,0.465
1091,2011,Dion Lewis,PHI,21,15,0,23,102,1,20,4.4,6.8,1,1.2,0.35185000000000005,0.42222,0.56388
264,2015,Donald Brown,SDG,28,10,2,59,229,1,53,3.9,22.9,1,1.4328,1.6011432160804018,2.294118,2.294118
265,2014,Donald Brown,SDG,27,13,3,85,223,0,16,2.6,17.2,1,1.33,1.3784458646616542,1.833333,4.0
