Year,Team,Adjusted Line yards,,Running Back Yards,,Power Success Rate,,Open Field Yards,,Second Level Yards,,Stuffed Rate,,Adjusted Sack Rate,,Sacks
2016,SFO,32,3.46,19,3.99,11,69%,14,0.72,17,1.12,25,22.10%,30,8.40%,47
2016,TAM,21,4.01,30,3.61,32,47%,28,0.45,25,1.06,32,23.90%,16,5.90%,35
2016,TEN,5,4.63,11,4.4,12,68%,13,0.72,9,1.28,13,18.90%,15,5.70%,28
2016,WAS,6,4.57,5,4.67,5,72%,6,1.06,14,1.15,3,15.20%,3,3.90%,23
2015,ARI,3,4.56,3,4.59,29,51%,4,1.15,6,1.22,16,20.50%,5,5.00%,27
2015,ATL,15,4.17,14,4.07,21,61%,19,0.68,1,1.33,22,22.00%,9,5.40%,32
2015,BAL,14,4.22,21,3.97,28,54%,21,0.62,11,1.21,25,22.70%,2,3.80%,24
2015,BUF,23,3.92,2,4.68,10,71%,2,1.18,2,1.28,17,21.00%,27,8.40%,42
2015,CAR,12,4.24,12,4.1,2,76%,22,0.61,5,1.23,8,18.20%,21,6.90%,33
2015,CHI,7,4.46,22,3.89,4,74%,32,0.3,23,1.05,2,15.80%,12,5.60%,34
2015,CIN,1,4.59,17,4,13,68%,31,0.42,14,1.2,3,16.50%,15,5.90%,32
2015,CLE,29,3.62,28,3.75,17,65%,14,0.78,30,0.98,31,25.70%,26,8.10%,53
2015,DAL,6,4.48,5,4.53,15,66%,8,1.01,12,1.21,4,17.40%,19,6.60%,33
2015,DEN,17,4.07,9,4.33,23,61%,9,0.93,3,1.24,23,22.50%,13,5.80%,39
2015,DET,22,3.93,27,3.76,12,69%,24,0.59,20,1.11,29,23.80%,22,6.90%,44
2015,GNB,25,3.88,19,4,21,61%,16,0.73,19,1.11,27,23.20%,23,7.40%,47
2015,HOU,18,4.06,26,3.79,16,65%,29,0.48,25,1.02,9,18.60%,17,6.30%,36
2015,IND,27,3.78,31,3.52,24,60%,28,0.48,29,0.99,24,22.60%,16,6.10%,37
2015,JAX,16,4.11,25,3.8,31,39%,20,0.63,28,1.01,21,22.00%,25,7.90%,51
2015,KAN,5,4.53,8,4.43,11,70%,11,0.84,8,1.22,6,18.00%,28,8.70%,46
2015,MIA,28,3.76,10,4.28,27,58%,7,1.01,7,1.22,30,23.80%,24,7.60%,45
2015,MIN,10,4.32,4,4.55,2,76%,5,1.12,4,1.24,12,19.80%,29,8.80%,45
2015,NWE,2,4.56,23,3.88,19,64%,30,0.42,16,1.17,1,15.50%,18,6.50%,38
2015,NOR,13,4.23,18,4,5,74%,18,0.68,17,1.17,14,20.00%,7,5.10%,32
2015,NYG,11,4.31,16,4.02,30,47%,23,0.59,21,1.1,11,19.40%,6,5.10%,27
2015,NYJ,26,3.87,15,4.06,26,60%,10,0.9,18,1.14,26,22.80%,3,4.10%,22
2015,OAK,19,4.03,20,3.98,7,72%,15,0.74,26,1.02,6,18.00%,4,4.60%,33
2015,PHI,30,3.54,13,4.09,1,84%,13,0.81,10,1.21,18,21.10%,20,6.60%,37
2015,PIT,8,4.45,6,4.53,24,60%,6,1.02,9,1.22,10,19.20%,8,5.40%,33
2015,SDG,31,3.47,30,3.53,6,73%,27,0.53,32,0.85,15,20.20%,11,5.40%,40
2015,SEA,4,4.56,7,4.44,8,71%,12,0.81,15,1.2,5,17.70%,30,9.00%,46
2015,SFO,32,3.44,32,3.51,14,67%,26,0.57,22,1.05,31,25.70%,31,9.10%,53
2015,STL,24,3.88,11,4.25,20,64%,3,1.17,24,1.03,28,23.30%,1,3.50%,18
2015,TAM,9,4.36,1,4.86,8,71%,1,1.4,13,1.2,13,20.00%,14,5.80%,27
2015,TEN,20,3.98,29,3.66,32,37%,25,0.58,31,0.95,20,21.90%,32,9.60%,54
2015,WAS,21,3.96,24,3.82,18,65%,17,0.68,27,1.02,19,21.60%,10,5.40%,27
2014,ARI,24,3.93,32,3.48,24,59%,30,0.42,32,0.92,14,19.20%,6,4.80%,28
2014,ATL,14,4.23,21,3.93,13,67%,17,0.68,24,1.02,20,20.60%,11,5.10%,31
2014,BAL,3,4.55,2,4.83,28,55%,1,1.3,3,1.36,23,20.90%,4,4.50%,19
2014,BUF,26,3.87,24,3.83,16,63%,20,0.64,30,0.94,7,17.50%,20,6.90%,39
2014,CAR,27,3.85,22,3.93,10,68%,25,0.59,18,1.14,17,19.90%,22,7.90%,42
2014,CHI,15,4.22,20,3.97,10,68%,32,0.38,12,1.21,10,18.20%,18,6.30%,41
2014,CIN,11,4.31,5,4.53,9,68%,3,1.04,16,1.16,3,15.50%,5,4.60%,23
2014,CLE,25,3.88,27,3.79,19,61%,22,0.6,19,1.13,31,22.50%,15,6.00%,31
2014,DAL,1,4.71,1,4.86,4,76%,2,1.1,2,1.38,11,18.20%,16,6.10%,30
2014,DEN,12,4.26,8,4.39,5,75%,7,0.83,10,1.24,9,18.20%,1,3.70%,17
2014,DET,21,4.05,28,3.75,15,65%,26,0.59,26,0.99,30,22.00%,21,6.90%,45
2014,GNB,8,4.36,9,4.39,25,59%,8,0.83,5,1.29,24,21.00%,13,5.50%,30
2014,HOU,23,3.97,18,4.07,13,67%,12,0.8,22,1.07,25,21.10%,8,4.90%,26
2014,IND,16,4.21,23,3.91,31,52%,29,0.46,13,1.2,15,19.30%,7,4.80%,29
2014,JAX,30,3.76,19,3.98,26,58%,10,0.81,27,0.96,22,20.90%,32,11.30%,71
2014,KAN,7,4.37,7,4.47,21,60%,4,0.97,17,1.15,5,16.90%,28,9.40%,49
2014,MIA,9,4.34,3,4.64,17,63%,9,0.82,1,1.42,12,18.30%,19,6.90%,46
2014,MIN,13,4.25,15,4.11,10,68%,21,0.61,21,1.07,2,15.40%,27,9.10%,51
2014,NWE,5,4.51,16,4.11,23,59%,23,0.6,11,1.22,27,21.10%,2,4.40%,26
2014,NOR,2,4.69,10,4.36,22,60%,15,0.73,8,1.25,13,18.40%,12,5.30%,30
2014,NYG,22,4.02,30,3.62,20,61%,28,0.47,29,0.94,18,20.00%,10,5.00%,30
2014,NYJ,20,4.11,13,4.2,5,75%,19,0.65,20,1.12,8,18.10%,25,8.80%,47
2014,OAK,28,3.81,26,3.8,29,55%,18,0.65,31,0.94,21,20.80%,3,4.40%,28
2014,PHI,29,3.77,11,4.36,1,81%,6,0.93,9,1.25,26,21.10%,9,4.90%,32
2014,PIT,6,4.38,6,4.5,8,69%,5,0.96,15,1.18,1,15.10%,14,5.80%,33
2014,SDG,31,3.52,31,3.51,3,78%,27,0.52,28,0.95,28,21.30%,17,6.10%,37
2014,SEA,4,4.52,4,4.62,2,78%,11,0.8,4,1.34,6,17.50%,24,8.70%,42
2014,SFO,10,4.32,14,4.16,32,49%,24,0.59,6,1.26,19,20.60%,31,9.80%,52
2014,STL,18,4.16,17,4.08,30,53%,16,0.71,14,1.18,29,21.30%,23,8.60%,47
2014,TAM,32,3.44,29,3.73,7,69%,13,0.79,25,0.99,32,23.10%,29,9.40%,52
2014,TEN,17,4.18,25,3.82,17,63%,31,0.39,23,1.06,4,16.50%,26,8.90%,50
2014,WAS,19,4.14,12,4.22,27,58%,14,0.75,7,1.26,16,19.50%,30,9.80%,58
2013,ARI,17,4.07,23,3.9,6,73%,15,0.71,24,1,16,19.30%,13,6.80%,41
2013,ATL,24,3.98,22,3.91,18,63%,14,0.76,25,0.98,25,20.80%,7,5.90%,44
2013,BAL,32,3.2,32,2.95,31,49%,32,0.3,32,0.76,32,26.00%,16,7.30%,48
2013,BUF,16,4.09,8,4.38,14,65%,6,0.96,14,1.15,11,18.40%,29,8.50%,48
2013,CAR,14,4.15,24,3.87,8,72%,25,0.55,22,1.04,14,19.10%,25,8.20%,43
2013,CHI,20,4.04,10,4.37,30,50%,3,1.03,11,1.23,26,20.80%,5,5.50%,30
2013,CIN,11,4.28,27,3.7,19,63%,30,0.37,26,0.97,9,18.10%,3,5.20%,29
2013,CLE,18,4.07,29,3.53,9,70%,31,0.37,28,0.95,18,19.80%,17,7.50%,49
2013,DAL,4,4.49,4,4.66,11,68%,4,1.02,6,1.29,2,15.50%,10,6.20%,35
2013,DEN,8,4.32,9,4.38,17,64%,20,0.63,4,1.3,3,15.60%,1,3.60%,20
2013,DET,13,4.19,12,4.23,3,76%,17,0.68,9,1.26,12,18.50%,2,4.50%,23
2013,GNB,5,4.36,6,4.52,1,83%,8,0.95,10,1.24,5,16.20%,26,8.30%,45
2013,HOU,6,4.36,14,4.2,26,56%,26,0.53,3,1.31,17,19.60%,11,6.60%,42
2013,IND,15,4.13,20,3.96,15,65%,21,0.63,19,1.09,10,18.20%,6,5.60%,32
2013,JAX,31,3.32,31,3.43,24,58%,24,0.59,30,0.93,30,24.60%,24,7.90%,50
2013,KAN,2,4.6,5,4.58,16,65%,9,0.91,8,1.27,7,16.50%,20,7.70%,41
2013,MIA,28,3.85,25,3.83,27,56%,19,0.64,23,1,27,21.30%,30,8.60%,58
2013,MIN,10,4.29,2,4.79,2,79%,1,1.26,7,1.29,20,20.10%,23,7.80%,44
2013,NWE,1,4.92,3,4.69,23,59%,12,0.8,2,1.39,4,15.60%,9,6.10%,40
